date, time, event_title, link
Dec 31 2018, 9:00 PM, Post Malone, https://www.barclayscenter.com/events/detail/post-malone-2018
Dec 29 2018, 7:30 PM, Post Malone, https://www.barclayscenter.com/events/detail/post-malone-2018
Dec 28 2018, 7:00 PM, New York Islanders vs. Ottawa Senators, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-ottawa-senators-2018-12-28
Dec 27 2018, 7:00 PM, Harlem Globetrotters, https://www.barclayscenter.com/events/detail/original-harlem-globetrotters
Dec 26 2018, 7:30 PM, Brooklyn Nets vs. Charlotte Hornets, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-charlotte-hornets-2018-12-26
Dec 23 2018, 6:00 PM, Brooklyn Nets vs. Phoenix Suns, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-phoenix-suns-2018-12-23
Dec 22 2018, @ TBA, Premier Boxing Champions: Jermall Charlo vs. Willie Monroe Jr., https://www.barclayscenter.com/events/detail/premier-boxing-champions-2018
Dec 21 2018, 7:30 PM, Brooklyn Nets vs. Indiana Pacers, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-indiana-pacers-2018-12-21
Dec 19 2018, 8:00 PM, Michelle Obama, https://www.barclayscenter.com/events/detail/michelle-obama-2018
Dec 18 2018, 7:30 PM, Brooklyn Nets vs. Los Angeles Lakers, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-los-angeles-lakers-2018-12-18
Dec 16 2018, 3:00 PM, Brooklyn Nets vs. Atlanta Hawks, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-atlanta-hawks-2018-12-16
Dec 15 2018, 8:00 PM, Ghost, https://www.barclayscenter.com/events/detail/ghost-2018
Dec 14 2018, 7:30 PM, Brooklyn Nets vs. Washington Wizards, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-atlanta-hawks-2018-12-14
Dec 12 2018, 7:00 PM, New York Islanders vs. Vegas Golden Knights, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-vegas-golden-knights-2018-11-27
Dec 9 2018, 4:30 PM, Battle in the Apple Basketball Showcase, https://www.barclayscenter.com/events/detail/battle-in-the-apple-basketball-showcase-2018
Dec 7 2018, 7:30 PM, Brooklyn Nets vs. Toronto Raptors, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-toronto-raptors-2018-12-7
Dec 6 2018, 7:00 PM, ALT 92.3 Presents Not So Silent Night, https://www.barclayscenter.com/events/detail/alt-923-presents-not-so-silent-night-2018
Dec 5 2018, 7:30 PM, Brooklyn Nets vs. Oklahoma City Thunder, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-oklahoma-city-thunder-2018-12-5
Dec 4 2018, 7:00 PM, New York Islanders vs. Winnipeg Jets, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-winipeg-jets-2018-11-26
Dec 3 2018, 7:30 PM, Brooklyn Nets vs. Cleveland Cavaliers, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-cleveland-cavaliers-2018-12-3
Dec 1 2018, 8:00 PM, Michelle Obama, https://www.barclayscenter.com/events/detail/michelle-obama-2018
Nov 30 2018, 7:30 PM, Brooklyn Nets vs. Memphis Grizzlies, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-memphis-grizzlies-2018-11-30
Nov 28 2018, 7:30 PM, Brooklyn Nets vs. Utah Jazz, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-utah-jazz-2018-11-28
Nov 26 2018, 7:00 PM, New York Islanders vs. Washington Capitals, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-washington-capitals-2018-11-25
Nov 25 2018, 12:00 PM, Harlem Globetrotters, https://www.barclayscenter.com/events/detail/original-harlem-globetrotters-2018
Nov 24 2018, 7:00 PM, New York Islanders vs. Carolina Hurricanes, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-carolina-hurricanes-2018-11-24
Nov 23 2018, 12:00 PM, Brooklyn Nets vs. Minnesota Timberwolves, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-minnesota-timberwolves-2018-11-23
Nov 21 2018, 12:00 PM, Barclays Center Classic Presented by Honda, https://www.barclayscenter.com/events/detail/barclays-center-classic-2018
Nov 20 2018, 5:00 PM, GotPrint.com Legends Classic Presented by Old Trapper, https://www.barclayscenter.com/events/detail/legends-classic-2018
Nov 19 2018, 7:00 PM, GotPrint.com Legends Classic Presented by Old Trapper, https://www.barclayscenter.com/events/detail/legends-classic-2018
Nov 18 2018, 1:00 PM, New York Islanders vs. Dallas Stars, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-dallas-stars-2018-11-18
Nov 17 2018, 6:00 PM, Brooklyn Nets vs. Los Angeles Clippers, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-los-angeles-clippers-2018-11-17
Nov 15 2018, 7:00 PM, New York Islanders vs. New York Rangers, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-new-york-rangers-2018-11-15
Nov 14 2018, 7:30 PM, Brooklyn Nets vs. Miami Heat, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-miami-heat-2018-11-14
Nov 13 2018, 7:00 PM, New York Islanders vs. Vancouver Canucks, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-vancouver-canucks-2018-11-13
Nov 11 2018, 11:00 AM, Disney On Ice presents Mickey’s Search Party, https://www.barclayscenter.com/events/detail/disney-on-ice-presents-mickeys-search-party-2018
Nov 10 2018, 11:00 AM, Disney On Ice presents Mickey’s Search Party, https://www.barclayscenter.com/events/detail/disney-on-ice-presents-mickeys-search-party-2018
Nov 9 2018, 7:00 PM, Disney On Ice presents Mickey’s Search Party, https://www.barclayscenter.com/events/detail/disney-on-ice-presents-mickeys-search-party-2018
Nov 8 2018, 11:00 AM, Disney On Ice presents Mickey’s Search Party, https://www.barclayscenter.com/events/detail/disney-on-ice-presents-mickeys-search-party-2018
Nov 7 2018, 7:00 PM, Disney On Ice presents Mickey’s Search Party, https://www.barclayscenter.com/events/detail/disney-on-ice-presents-mickeys-search-party-2018
Nov 5 2018, 7:00 PM, New York Islanders vs. Montreal Canadiens, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-montreal-canadians-2018-11-5
Nov 4 2018, 6:00 PM, Brooklyn Nets vs. Philadelphia 76ers, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-philadelphia-76ers-2018-11-4
Nov 3 2018, 7:00 PM, New York Islanders vs. New Jersey Devils, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-new-jersey-devils-2018-11-3
Nov 2 2018, 7:30 PM, Brooklyn Nets vs. Houston Rockets, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-houston-rockets-2018-11-02
Nov 1 2018, 7:00 PM, New York Islanders vs. Pittsburgh Penguins, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-pittsburgh-penguins-2018-11-1
Oct 31 2018, 7:30 PM, Brooklyn Nets vs. Detroit Pistons, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-detroit-pistons-2018-10-31
Oct 28 2018, 5:00 PM, Brooklyn Nets vs. Golden State Warriors, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-golden-state-warriors-2018-10-28
Oct 27 2018, 7:30 PM, Keith Urban, https://www.barclayscenter.com/events/detail/keith-urban-2018
Oct 26 2018, 7:15 PM, Nick Cave & The Bad Seeds, https://www.barclayscenter.com/events/detail/nick-cave-the-bad-seeds-2018
Oct 24 2018, 7:00 PM, New York Islanders vs. Florida Panthers, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-florida-panthers-2018-10-24
Oct 23 2018, 8:00 PM, TIDAL X: BROOKLYN, https://www.barclayscenter.com/events/detail/tidal-x-brooklyn-2018
Oct 20 2018, 8:00 PM, J Balvin, https://www.barclayscenter.com/events/detail/j-balvin-2018
Oct 19 2018, 7:30 PM, Brooklyn Nets vs. New York Knicks, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-new-york-knicks-2018-10-19
Oct 18 2018, 7:30 PM, CANCELLED – So So Def 25th Cultural Curren$y Tour, https://www.barclayscenter.com/events/detail/so-so-def-25th-cultural-curreny-tour
Oct 14 2018, 8:00 PM, Phil Collins, https://www.barclayscenter.com/events/detail/phil-collins-2018
Oct 13 2018, 8:00 PM, Gorillaz, https://www.barclayscenter.com/events/detail/gorillaz-2018
Oct 9 2018, 7:00 PM, Florence + the Machine, https://www.barclayscenter.com/events/detail/florence-the-machine-2018
Oct 8 2018, 1:00 PM, New York Islanders vs. San Jose Sharks, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-san-jose-sharks-2018-10-8
Oct 7 2018, 8:00 PM, Romeo Santos, https://www.barclayscenter.com/events/detail/romeo-santos-2018
Oct 6 2018, 7:00 PM, New York Islanders vs. Nashville Predators, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-nashville-predators-2018-10-06
Oct 5 2018, 8:00 PM, Bruno Mars, https://www.barclayscenter.com/events/detail/bruno-mars-2018
Oct 4 2018, 8:00 PM, Bruno Mars, https://www.barclayscenter.com/events/detail/bruno-mars-2018
Oct 3 2018, 7:30 PM, Brooklyn Nets vs. New York Knicks, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-new-york-knicks-2018-10-03
Sep 30 2018, 10:00 AM, ESL One New York powered by Intel, https://www.barclayscenter.com/events/detail/esl-one-new-york-powered-by-intel-2018
Sep 29 2018, 10:00 AM, ESL One New York powered by Intel, https://www.barclayscenter.com/events/detail/esl-one-new-york-powered-by-intel-2018
Sep 23 2018, 10:30 AM, Sesame Street Live! Let’s Party!, https://www.barclayscenter.com/events/detail/sesame-street-live-lets-party-2018
Sep 22 2018, 10:30 AM, Sesame Street Live! Let’s Party!, https://www.barclayscenter.com/events/detail/sesame-street-live-lets-party-2018
Sep 21 2018, 5:30 PM, Sesame Street Live! Let’s Party!, https://www.barclayscenter.com/events/detail/sesame-street-live-lets-party-2018
Sep 20 2018, 7:00 PM, New York Islanders vs. New Jersey Devils, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-new-jersey-devils-2018-09-20
Sep 18 2018, 7:00 PM, New York Islanders vs. Philadelphia Flyers, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-philadelphia-flyers-2018-09-18
Sep 8 2018, @ TBA, Premier Boxing Champions: Danny Garcia vs. Shawn Porter, https://www.barclayscenter.com/events/detail/premier-boxing-champions-danny-garcia-vs-shawn-porter-2018
Sep 1 2018, 7:00 PM, Drake, https://www.barclayscenter.com/events/detail/drake-2018
Aug 31 2018, 7:00 PM, Drake, https://www.barclayscenter.com/events/detail/drake-2018
Aug 30 2018, 7:00 PM, Drake, https://www.barclayscenter.com/events/detail/drake-2018
Aug 26 2018, 8:00 PM, Nick Cannon Presents: Wild ‘N Out Live, https://www.barclayscenter.com/events/detail/nick-cannon-presents-wild-n-out-live-2018
Aug 24 2018, 7:00 PM, Power 105.1 Presents BIG3, https://www.barclayscenter.com/events/detail/power-1051-presents-big3-2018
Aug 21 2018, 7:45 PM, WWE SmackDown LIVE, https://www.barclayscenter.com/events/detail/wwe-smackdown-live-2018
Aug 20 2018, 7:30 PM, WWE Monday Night RAW, https://www.barclayscenter.com/events/detail/wwe-monday-night-raw-2018-08-20
Aug 19 2018, 6:00 PM, WWE SummerSlam, https://www.barclayscenter.com/events/detail/wwe-summerslam-2018
Aug 18 2018, 10:00 AM, WWE Superstar Meet & Greets, https://www.barclayscenter.com/events/detail/wwe-superstar-meet-greets-2018
Aug 17 2018, 1:00 PM, WWE Superstar Meet & Greets, https://www.barclayscenter.com/events/detail/wwe-superstar-meet-greets-2018
Aug 3 2018, @ TBA, Hillsong Conference 2018, https://www.barclayscenter.com/events/detail/hillsong-conference-2018
Aug 2 2018, @ TBA, Hillsong Conference 2018, https://www.barclayscenter.com/events/detail/hillsong-conference-2018
Aug 1 2018, @ TBA, Hillsong Conference 2018, https://www.barclayscenter.com/events/detail/hillsong-conference-2018
Jul 28 2018, 3:00 PM, Overwatch League Grand Finals 2018, https://www.barclayscenter.com/events/detail/overwatch-league-grand-finals-2018
Jul 27 2018, 7:00 PM, Overwatch League Grand Finals 2018, https://www.barclayscenter.com/events/detail/overwatch-league-grand-finals-2018
Jul 16 2018, 7:00 PM, Chris Brown, https://www.barclayscenter.com/events/detail/chris-brown-2018
Jul 14 2018, 7:30 PM, Shania Twain, https://www.barclayscenter.com/events/detail/shania-twain-2018
Jul 13 2018, 2:30 PM, Joel Osteen, https://www.barclayscenter.com/events/detail/joel-osteen-2018
Jul 11 2018, 8:00 PM, GOT7, https://www.barclayscenter.com/events/detail/got7-2018
Jun 27 2018, 8:00 PM, Sam Smith, https://www.barclayscenter.com/events/detail/sam-smith-2018
Jun 26 2018, 7:00 PM, Paramore, https://www.barclayscenter.com/events/detail/paramore-2018
Jun 21 2018, 7:00 PM, NBA Draft 2018, https://www.barclayscenter.com/events/detail/nba-draft-2018
Jun 9 2018, 8:00 PM, The 34th New York Salsa Festival, https://www.barclayscenter.com/events/detail/the-34th-new-york-salsa-festival-2018
Jun 8 2018, 8:00 PM, Soulfrito Fest 2018, https://www.barclayscenter.com/events/detail/soulfrito-fest-2018
Jun 6 2018, 7:30 PM, Depeche Mode, https://www.barclayscenter.com/events/detail/depeche-mode-2018
Jun 1 2018, 7:30 PM, YO! MTV Raps: 30th Anniversary Experience, https://www.barclayscenter.com/events/detail/yo-mtv-raps-30th-anniversary-experience-2018
May 12 2018, 7:00 PM, Mother’s Day Good Music Festival, https://www.barclayscenter.com/events/detail/mothers-day-good-music-festival-2018
May 11 2018, 7:30 PM, Kygo, https://www.barclayscenter.com/events/detail/kygo-2018
Apr 28 2018, 6:00 PM, Eddie Hearn Presents: Daniel Jacobs vs. Maciej Sulecki, https://www.barclayscenter.com/events/detail/eddie-hearn-presents-daniel-jacobs-vs-maciej-sulecki
Apr 21 2018, 6:00 PM, Premier Boxing Champions: Adrien Broner vs. Jessie Vargas, https://www.barclayscenter.com/events/detail/premier-boxing-champions-adrien-broner-vs-jessie-vargas
Apr 20 2018, 7:30 PM, Martin Lawrence, https://www.barclayscenter.com/events/detail/martin-lawrence-2018
Apr 9 2018, 7:30 PM, Brooklyn Nets vs. Chicago Bulls, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-chicago-bulls-2018-04-09
Apr 8 2018, 2:30 PM, Jordan Brand Classic, https://www.barclayscenter.com/events/detail/jordan-brand-classic-2018
Apr 7 2018, 7:30 PM, UFC 223, https://www.barclayscenter.com/events/detail/ufc-223
Apr 5 2018, 7:00 PM, New York Islanders vs. New York Rangers, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-new-york-rangers-2018-04-05
Apr 4 2018, 7:00 PM, Lorde, https://www.barclayscenter.com/events/detail/lorde-2018
Apr 3 2018, 7:00 PM, New York Islanders vs. Philadelphia Flyers, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-philadelphia-flyers-2018-04-03
Apr 1 2018, 6:00 PM, Brooklyn Nets vs. Detroit Pistons, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-detroit-pistons-2018-04-01
Mar 30 2018, 7:00 PM, New York Islanders vs. Toronto Maple Leafs, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-toronto-maple-leafs-2018-03-30
Mar 26 2018, 7:00 PM, New York Islanders vs. Florida Panthers, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-florida-panthers-2018-03-26
Mar 25 2018, 1:00 PM, Brooklyn Nets vs. Cleveland Cavaliers, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-cleveland-cavaliers-2018-03-25
Mar 24 2018, 7:00 PM, New York Islanders vs. Chicago Blackhawks, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-chicago-blackhawks-2018-03-24
Mar 22 2018, 7:00 PM, New York Islanders vs. Tampa Bay Lightning, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-tampa-bay-lightning-2018-03-22
Mar 21 2018, 7:30 PM, Brooklyn Nets vs. Charlotte Hornets, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-charlotte-hornets-2018-03-21
Mar 20 2018, 7:00 PM, New York Islanders vs. Pittsburgh Penguins, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-pittsburgh-penguins-2018-03-20
Mar 19 2018, 7:30 PM, Brooklyn Nets vs. Memphis Grizzlies, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-memphis-grizzlies-2018-03-19
Mar 18 2018, 5:00 PM, New York Islanders vs. Carolina Hurricanes, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-carolina-hurricanes-2018-03-18
Mar 17 2018, 9:45 AM, PSAL Basketball Championships, https://www.barclayscenter.com/events/detail/psal-basketball-championships-2018
Mar 16 2018, 7:30 PM, Demi Lovato & DJ Khaled, https://www.barclayscenter.com/events/detail/demi-lovato-dj-khaled-2018
Mar 15 2018, 7:00 PM, New York Islanders vs. Washington Capitals, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-washington-capitals-2018-03-15
Mar 13 2018, 7:30 PM, Brooklyn Nets vs. Toronto Raptors, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-toronto-raptors-2018-03-13
Mar 11 2018, 7:30 PM, Brooklyn Nets vs. Philadelphia 76ers, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-philadelphia-76ers-2018-03-11
Mar 10 2018, 8:30 PM, 2018 ACC Men’s Basketball Tournament, https://www.barclayscenter.com/events/detail/acc-mens-basketball-tournament-2018
Mar 9 2018, 7:00 PM, 2018 ACC Men’s Basketball Tournament, https://www.barclayscenter.com/events/detail/acc-mens-basketball-tournament-2018
Mar 8 2018, 12:00 PM, 2018 ACC Men’s Basketball Tournament, https://www.barclayscenter.com/events/detail/acc-mens-basketball-tournament-2018
Mar 7 2018, 12:00 PM, 2018 ACC Men’s Basketball Tournament, https://www.barclayscenter.com/events/detail/acc-mens-basketball-tournament-2018
Mar 6 2018, 12:00 PM, 2018 ACC Men’s Basketball Tournament, https://www.barclayscenter.com/events/detail/acc-mens-basketball-tournament-2018
Mar 3 2018, 5:30 PM, Premier Boxing Champions: Deontay Wilder vs. Luis Ortiz, https://www.barclayscenter.com/events/detail/deontay-wilder-vs-luis-ortiz-2018
Mar 2 2018, 7:00 PM, New York Islanders vs. Montreal Canadiens, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-montreal-canadiens-2018-03-02
Feb 26 2018, 7:30 PM, Brooklyn Nets vs. Chicago Bulls, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-chicago-bulls-2018-02-26
Feb 25 2018, 12:00 PM, Marvel Universe LIVE!, https://www.barclayscenter.com/events/detail/marvel-universe-live-2018
Feb 24 2018, 11:00 AM, Marvel Universe LIVE!, https://www.barclayscenter.com/events/detail/marvel-universe-live-2018
Feb 23 2018, 11:00 AM, Marvel Universe LIVE!, https://www.barclayscenter.com/events/detail/marvel-universe-live-2018
Feb 22 2018, 7:00 PM, Marvel Universe LIVE!, https://www.barclayscenter.com/events/detail/marvel-universe-live-2018
Feb 19 2018, 1:00 PM, New York Islanders vs. Minnesota Wild, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-minnesota-wild-2018-02-19
Feb 17 2018, 8:00 PM, Ladies Night R&B Super Jam, https://www.barclayscenter.com/events/detail/ladies-night-rb-super-jam-2018
Feb 16 2018, 8:00 PM, Katt Williams, https://www.barclayscenter.com/events/detail/katt-williams-2018
Feb 15 2018, 7:00 PM, New York Islanders vs. New York Rangers, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-new-york-rangers-2018-02-15
Feb 14 2018, 7:30 PM, Brooklyn Nets vs. Indiana Pacers, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-indiana-pacers-2018-02-14
Feb 13 2018, 7:00 PM, New York Islanders vs. Columbus Blue Jackets, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-columbus-blue-jackets-2018-02-13
Feb 12 2018, 7:30 PM, Brooklyn Nets vs. Los Angeles Clippers, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-los-angeles-clippers-2018-02-12
Feb 11 2018, 7:00 PM, New York Islanders vs. Calgary Flames, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-calgary-flames-2018-02-11
Feb 10 2018, 6:00 PM, Brooklyn Nets vs. New Orleans Pelicans, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-new-orleans-pelicans-2018-02-10
Feb 9 2018, 7:00 PM, New York Islanders vs. Detroit Red Wings, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-detroit-red-wings-2018-02-09
Feb 6 2018, 7:30 PM, Brooklyn Nets vs. Houston Rockets, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-houston-rockets-2018-02-06
Feb 5 2018, 7:00 PM, New York Islanders vs. Nashville Predators, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-nashville-predators-2018-02-05
Feb 4 2018, 12:00 PM, Brooklyn Nets vs. Milwaukee Bucks, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-milwaukee-bucks-2018-02-04
Feb 3 2018, 7:00 PM, New York Islanders vs. Columbus Blue Jackets, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-columbus-blue-jackets-2018-02-03
Feb 2 2018, 7:30 PM, Brooklyn Nets vs. Los Angeles Lakers, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-los-angeles-lakers-2018-02-02
Jan 31 2018, 7:30 PM, Brooklyn Nets vs. Philadelphia 76ers, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-philadelphia-76ers-2018-01-31
Jan 30 2018, 7:00 PM, New York Islanders vs. Florida Panthers, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-florida-panthers-2018-01-30
Jan 27 2018, 8:00 PM, Above & Beyond, https://www.barclayscenter.com/events/detail/above-beyond-2018
Jan 22 2018, 7:30 PM, WWE Monday Night RAW 25th Anniversary, https://www.barclayscenter.com/events/detail/wwe-monday-night-raw-2018-01-22
Jan 20 2018, 5:30 PM, Errol Spence Jr. vs. Lamont Peterson, https://www.barclayscenter.com/events/detail/errol-spence-jr-vs-lamont-peterson-2018
Jan 19 2018, 7:30 PM, Brooklyn Nets vs. Miami Heat, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-miami-heat-2018-01-19
Jan 18 2018, 7:00 PM, New York Islanders vs. Boston Bruins, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-boston-bruins-2018-01-18
Jan 17 2018, 7:30 PM, Brooklyn Nets vs. San Antonio Spurs, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-san-antonio-spurs-2018-01-17
Jan 16 2018, 7:00 PM, New York Islanders vs. New Jersey Devils, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-new-jersey-devils-2018-01-16
Jan 15 2018, 3:00 PM, Brooklyn Nets vs. New York Knicks, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-new-york-knicks-2018-01-15
Jan 12 2018, 8:00 PM, The Comedy Get Down, https://www.barclayscenter.com/events/detail/the-comedy-get-down-2018
Jan 10 2018, 7:30 PM, Brooklyn Nets vs. Detroit Pistons, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-detroit-pistons-2018-01-10
Jan 9 2018, 8:00 PM, The Killers, https://www.barclayscenter.com/events/detail/the-killers-2018
Jan 8 2018, 7:30 PM, Brooklyn Nets vs. Toronto Raptors, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-toronto-raptors-2018-01-08
Jan 7 2018, 1:00 PM, New York Islanders vs. New Jersey Devils, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-new-jersey-devils-2018-01-07
Jan 6 2018, 6:00 PM, Brooklyn Nets vs. Boston Celtics, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-boston-celtics-2018-01-06
